movie_title,genre_type
Night at the Museum: Secret of the Tomb,Family
Night at the Museum: Secret of the Tomb,Fantasy
Megamind,Action
Megamind,Animation
Megamind,Comedy
Megamind,Family
Megamind,Sci-Fi
Harry Potter and the Sorcerer's Stone,Adventure
Harry Potter and the Sorcerer's Stone,Family
Harry Potter and the Sorcerer's Stone,Fantasy
R.I.P.D.,Action
R.I.P.D.,Comedy
R.I.P.D.,Fantasy
Pirates of the Caribbean: The Curse of the Black Pearl,Action
Pirates of the Caribbean: The Curse of the Black Pearl,Adventure
Pirates of the Caribbean: The Curse of the Black Pearl,Fantasy
The Hunger Games: Mockingjay - Part 1,Adventure
The Hunger Games: Mockingjay - Part 1,Sci-Fi
The Hunger Games: Mockingjay - Part 1,Thriller
The Da Vinci Code,Mystery
The Da Vinci Code,Thriller
Rio 2,Adventure
Rio 2,Animation
Rio 2,Comedy
Rio 2,Family
Rio 2,Musical
X-Men 2,Action
X-Men 2,Adventure
X-Men 2,Fantasy
X-Men 2,Sci-Fi
X-Men 2,Thriller
Fast Five,Action
Fast Five,Crime
Fast Five,Thriller
Sherlock Holmes: A Game of Shadows,Action
Sherlock Holmes: A Game of Shadows,Adventure
Sherlock Holmes: A Game of Shadows,Crime
Sherlock Holmes: A Game of Shadows,Mystery
Sherlock Holmes: A Game of Shadows,Thriller
Clash of the Titans,Action
Clash of the Titans,Adventure
Clash of the Titans,Fantasy
Total Recall,Action
Total Recall,Sci-Fi
The 13th Warrior,Action
The 13th Warrior,Adventure
The 13th Warrior,History
The Bourne Legacy,Action
The Bourne Legacy,Adventure
The Bourne Legacy,Thriller
Batman & Robin,Action
How the Grinch Stole Christmas,Comedy
How the Grinch Stole Christmas,Family
How the Grinch Stole Christmas,Fantasy
The Day After Tomorrow,Action
The Day After Tomorrow,Adventure
The Day After Tomorrow,Sci-Fi
The Day After Tomorrow,Thriller
Mission: Impossible II,Action
Mission: Impossible II,Adventure
Mission: Impossible II,Thriller
The Perfect Storm,Action
The Perfect Storm,Adventure
The Perfect Storm,Drama
The Perfect Storm,Thriller
Fantastic 4: Rise of the Silver Surfer,Action
Fantastic 4: Rise of the Silver Surfer,Adventure
Fantastic 4: Rise of the Silver Surfer,Sci-Fi
Fantastic 4: Rise of the Silver Surfer,Thriller
Life of Pi,Adventure
Life of Pi,Drama
Life of Pi,Fantasy
Ghost Rider,Action
Ghost Rider,Fantasy
Ghost Rider,Thriller
Jason Bourne,Action
Jason Bourne,Thriller
Charlie's Angels: Full Throttle,Action
Charlie's Angels: Full Throttle,Adventure
Charlie's Angels: Full Throttle,Comedy
Charlie's Angels: Full Throttle,Crime
Prometheus,Adventure
Prometheus,Mystery
Prometheus,Sci-Fi
Stuart Little 2,Adventure
Stuart Little 2,Animation
Stuart Little 2,Comedy
Stuart Little 2,Family
Stuart Little 2,Fantasy
Elysium,Action
Elysium,Drama
Elysium,Sci-Fi
Elysium,Thriller
The Chronicles of Riddick,Action
The Chronicles of Riddick,Adventure
The Chronicles of Riddick,Sci-Fi
The Chronicles of Riddick,Thriller
RoboCop,Action
RoboCop,Crime
RoboCop,Sci-Fi
RoboCop,Thriller
Speed Racer,Action
Speed Racer,Family
Speed Racer,Sport
How Do You Know,Comedy
How Do You Know,Drama
How Do You Know,Romance
Knight and Day,Action
Knight and Day,Comedy
Knight and Day,Romance
Oblivion,Action
Oblivion,Adventure
Oblivion,Mystery
Oblivion,Sci-Fi
Star Wars: Episode III - Revenge of the Sith,Action
Star Wars: Episode III - Revenge of the Sith,Adventure
Star Wars: Episode III - Revenge of the Sith,Fantasy
Star Wars: Episode III - Revenge of the Sith,Sci-Fi
Star Wars: Episode II - Attack of the Clones,Action
Star Wars: Episode II - Attack of the Clones,Adventure
Star Wars: Episode II - Attack of the Clones,Fantasy
Star Wars: Episode II - Attack of the Clones,Sci-Fi
"Monsters, Inc.",Adventure
"Monsters, Inc.",Animation
"Monsters, Inc.",Comedy
