movie_title,actor_name
The Matrix Reloaded,Helmut Bakaitis
Thor: The Dark World,Chris Hemsworth
Thor: The Dark World,Natalie Portman
Thor: The Dark World,Anthony Hopkins
Mad Max: Fury Road,Tom Hardy
Mad Max: Fury Road,Charlize Theron
Mad Max: Fury Road,Zoë Kravitz
Angels & Demons,Tom Hanks
Angels & Demons,Ayelet Zurer
Angels & Demons,Armin Mueller-Stahl
Thor,Chris Hemsworth
Thor,Natalie Portman
Thor,Anthony Hopkins
Bolt,Chloë Grace Moretz
Bolt,Diedrich Bader
Bolt,James Lipton
G-Force,Kelli Garner
G-Force,Piper Mackenzie Harris
G-Force,Niecy Nash
Wrath of the Titans,Liam Neeson
Wrath of the Titans,Edgar Ramírez
Wrath of the Titans,Lily James
Dark Shadows,Johnny Depp
Dark Shadows,Chloë Grace Moretz
Dark Shadows,Christopher Lee
Mission: Impossible - Rogue Nation,Tom Cruise
Mission: Impossible - Rogue Nation,Jeremy Renner
Mission: Impossible - Rogue Nation,Sean Harris
The Wolfman,Anthony Hopkins
The Wolfman,Simon Merrells
The Wolfman,Art Malik
Bee Movie,Matthew Broderick
Bee Movie,Oprah Winfrey
Bee Movie,Rip Torn
Kung Fu Panda 2,Angelina Jolie Pitt
Kung Fu Panda 2,Gary Oldman
Kung Fu Panda 2,Mike Bell
The Last Airbender,Seychelle Gabriel
The Last Airbender,Noah Ringer
The Last Airbender,Aasif Mandvi
Mission: Impossible III,Philip Seymour Hoffman
Mission: Impossible III,Tom Cruise
Mission: Impossible III,Eddie Marsan
White House Down,Channing Tatum
White House Down,Jake Weber
White House Down,Matt Craven
Mars Needs Moms,Elisabeth Harnois
Mars Needs Moms,Dan Fogler
Mars Needs Moms,Tom Everett Scott
Flushed Away,Hugh Jackman
Flushed Away,Kate Winslet
Flushed Away,David Suchet
Pan,Hugh Jackman
Pan,Cara Delevingne
Pan,Nonso Anozie
Mr. Peabody & Sherman,Ty Burrell
Mr. Peabody & Sherman,Zach Callison
Mr. Peabody & Sherman,Karan Brar
Troy,Brad Pitt
Troy,Orlando Bloom
Troy,Julian Glover
Madagascar 3: Europe's Most Wanted,Jada Pinkett Smith
Madagascar 3: Europe's Most Wanted,Martin Short
Madagascar 3: Europe's Most Wanted,Cedric the Entertainer
Die Another Day,Toby Stephens
Die Another Day,Colin Salmon
Die Another Day,Rick Yune
Ghostbusters,Ed Begley Jr.
Ghostbusters,Kate McKinnon
Ghostbusters,Zach Woods
Armageddon,Bruce Willis
Armageddon,Steve Buscemi
Armageddon,Will Patton
Men in Black II,Will Smith
Men in Black II,Rosario Dawson
Men in Black II,Rip Torn
Beowulf,Robin Wright
Beowulf,Anthony Hopkins
Beowulf,Sebastian Roché
Kung Fu Panda 3,J.K. Simmons
Kung Fu Panda 3,Angelina Jolie Pitt
Kung Fu Panda 3,Wayne Knight
Mission: Impossible - Ghost Protocol,Tom Cruise
Mission: Impossible - Ghost Protocol,Jeremy Renner
Mission: Impossible - Ghost Protocol,Michael Nyqvist
Rise of the Guardians,Hugh Jackman
Rise of the Guardians,Kamil McFadden
Rise of the Guardians,Khamani Griffin
Fun with Dick and Jane,John Michael Higgins
Fun with Dick and Jane,Richard Burgi
Fun with Dick and Jane,David Herman
The Last Samurai,Tom Cruise
The Last Samurai,Tony Goldwyn
The Last Samurai,Chad Lindberg
Exodus: Gods and Kings,Christian Bale
Exodus: Gods and Kings,María Valverde
Exodus: Gods and Kings,Ben Mendelsohn
Star Trek,Chris Hemsworth
Star Trek,Leonard Nimoy
Star Trek,Bruce Greenwood
Spider-Man,J.K. Simmons
Spider-Man,James Franco
Spider-Man,Kirsten Dunst
How to Train Your Dragon 2,Gerard Butler
How to Train Your Dragon 2,Djimon Hounsou
How to Train Your Dragon 2,America Ferrera
Gods of Egypt,Gerard Butler
Gods of Egypt,Elodie Yung
Gods of Egypt,Bryan Brown
Stealth,Sam Shepard
Stealth,Joe Morton
Stealth,Richard Roxburgh
Watchmen,Matt Frewer
Watchmen,Billy Crudup
Watchmen,Stephen McHattie
Lethal Weapon 4,Jet Li
Lethal Weapon 4,Rene Russo
Lethal Weapon 4,Darlene Love
Hulk,Kevin Rankin
Hulk,Regi Davis
Hulk,Celia Weston
G.I. Joe: Retaliation,Channing Tatum
G.I. Joe: Retaliation,Dwayne Johnson
G.I. Joe: Retaliation,Elodie Yung
Sahara,Matthew McConaughey
Sahara,Rainn Wilson
Sahara,Delroy Lindo
Final Fantasy: The Spirits Within,Steve Buscemi
Final Fantasy: The Spirits Within,Ming-Na Wen
Final Fantasy: The Spirits Within,Jean Simmons
Captain America: The First Avenger,Chris Evans
Captain America: The First Avenger,Dominic Cooper
Captain America: The First Avenger,Hayley Atwell
The World Is Not Enough,Colin Salmon
The World Is Not Enough,Maria Grazia Cucinotta
The World Is Not Enough,Desmond Llewelyn
Master and Commander: The Far Side of the World,James D'Arcy
Master and Commander: The Far Side of the World,Lee Ingleby
Master and Commander: The Far Side of the World,David Threlfall
The Twilight Saga: Breaking Dawn - Part 2,Robert Pattinson
The Twilight Saga: Breaking Dawn - Part 2,Kristen Stewart
The Twilight Saga: Breaking Dawn - Part 2,Taylor Lautner
Happy Feet 2,Robin Williams
Happy Feet 2,Brad Pitt
Happy Feet 2,Common
The Incredible Hulk,Ty Burrell
The Incredible Hulk,Peter Mensah
The Incredible Hulk,William Hurt
The BFG,Mark Rylance
The BFG,Penelope Wilton
The BFG,Rafe Spall
