movie_title,title_year,language,country,duration,content_rating,movie_imdb_link,director_name,imdb_score,num_voted_users,gross
The Hobbit: An Unexpected Journey,2012,English,USA,182.0,PG-13,http://www.imdb.com/title/tt0903624/?ref_=fn_tt_tt_1,Peter Jackson,7.9,637246,303001229.0
The Fast and the Furious,2001,English,USA,106.0,PG-13,http://www.imdb.com/title/tt0232500/?ref_=fn_tt_tt_1,Rob Cohen,6.7,272223,144512310.0
The Curious Case of Benjamin Button,2008,English,USA,166.0,PG-13,http://www.imdb.com/title/tt0421715/?ref_=fn_tt_tt_1,David Fincher,7.8,459346,127490802.0
X-Men: First Class,2011,English,USA,132.0,PG-13,http://www.imdb.com/title/tt1270798/?ref_=fn_tt_tt_1,Matthew Vaughn,7.8,518537,146405371.0
The Hunger Games: Mockingjay - Part 2,2015,English,USA,137.0,PG-13,http://www.imdb.com/title/tt1951266/?ref_=fn_tt_tt_1,Francis Lawrence,6.6,166137,281666058.0
The Sorcerer's Apprentice,2010,English,USA,109.0,PG,http://www.imdb.com/title/tt0963966/?ref_=fn_tt_tt_1,Jon Turteltaub,6.1,124185,63143812.0
Poseidon,2006,English,USA,98.0,PG-13,http://www.imdb.com/title/tt0409182/?ref_=fn_tt_tt_1,Wolfgang Petersen,5.6,82380,60655503.0
Alice Through the Looking Glass,2016,English,USA,113.0,PG,http://www.imdb.com/title/tt2567026/?ref_=fn_tt_tt_1,James Bobin,6.4,21352,76846624.0
Shrek the Third,2007,English,USA,93.0,PG,http://www.imdb.com/title/tt0413267/?ref_=fn_tt_tt_1,Chris Miller,6.1,211971,320706665.0
Warcraft,2016,English,USA,123.0,PG-13,http://www.imdb.com/title/tt0803096/?ref_=fn_tt_tt_1,Duncan Jones,7.3,111609,46978995.0
Terminator Genisys,2015,English,USA,126.0,PG-13,http://www.imdb.com/title/tt1340138/?ref_=fn_tt_tt_1,Alan Taylor,6.6,188457,89732035.0
The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,English,USA,113.0,PG,http://www.imdb.com/title/tt0980970/?ref_=fn_tt_tt_1,Michael Apted,6.3,106446,104383624.0
Pearl Harbor,2001,English,USA,184.0,PG-13,http://www.imdb.com/title/tt0213149/?ref_=fn_tt_tt_1,Michael Bay,6.1,254111,198539855.0
Transformers,2007,English,USA,144.0,PG-13,http://www.imdb.com/title/tt0418279/?ref_=fn_tt_tt_1,Michael Bay,7.1,513158,318759914.0
Alexander,2004,English,Germany,206.0,R,http://www.imdb.com/title/tt0346491/?ref_=fn_tt_tt_1,Oliver Stone,5.5,138863,34293771.0
Harry Potter and the Order of the Phoenix,2007,English,UK,138.0,PG-13,http://www.imdb.com/title/tt0373889/?ref_=fn_tt_tt_1,David Yates,7.5,355137,292000866.0
Harry Potter and the Goblet of Fire,2005,English,UK,157.0,PG-13,http://www.imdb.com/title/tt0330373/?ref_=fn_tt_tt_1,Mike Newell,7.6,385670,289994397.0
Hancock,2008,English,USA,102.0,PG-13,http://www.imdb.com/title/tt0448157/?ref_=fn_tt_tt_1,Peter Berg,6.4,343648,227946274.0
I Am Legend,2007,English,USA,104.0,PG-13,http://www.imdb.com/title/tt0480249/?ref_=fn_tt_tt_1,Francis Lawrence,7.2,530870,256386216.0
Charlie and the Chocolate Factory,2005,English,USA,115.0,PG,http://www.imdb.com/title/tt0367594/?ref_=fn_tt_tt_1,Tim Burton,6.7,320284,206456431.0
Ratatouille,2007,English,USA,111.0,G,http://www.imdb.com/title/tt0382932/?ref_=fn_tt_tt_1,Brad Bird,8.0,473887,206435493.0
Batman Begins,2005,English,USA,128.0,PG-13,http://www.imdb.com/title/tt0372784/?ref_=fn_tt_tt_1,Christopher Nolan,8.3,980946,205343774.0
Madagascar: Escape 2 Africa,2008,English,USA,89.0,PG,http://www.imdb.com/title/tt0479952/?ref_=fn_tt_tt_1,Eric Darnell,6.7,146019,179982968.0
Night at the Museum: Battle of the Smithsonian,2009,English,USA,105.0,PG,http://www.imdb.com/title/tt1078912/?ref_=fn_tt_tt_1,Shawn Levy,5.9,130272,177243721.0
X-Men Origins: Wolverine,2009,English,USA,119.0,PG-13,http://www.imdb.com/title/tt0458525/?ref_=fn_tt_tt_1,Gavin Hood,6.7,361924,179883016.0
The Matrix Revolutions,2003,English,Australia,129.0,R,http://www.imdb.com/title/tt0242653/?ref_=fn_tt_tt_1,Lana Wachowski,6.7,364948,139259759.0
Frozen,2013,English,USA,102.0,PG,http://www.imdb.com/title/tt2294629/?ref_=fn_tt_tt_1,Chris Buck,7.6,421658,400736600.0
The Matrix Reloaded,2003,English,USA,138.0,R,http://www.imdb.com/title/tt0234215/?ref_=fn_tt_tt_1,Lana Wachowski,7.2,421818,281492479.0
Thor: The Dark World,2013,English,USA,112.0,PG-13,http://www.imdb.com/title/tt1981115/?ref_=fn_tt_tt_1,Alan Taylor,7.1,414070,206360018.0
Mad Max: Fury Road,2015,English,Australia,120.0,R,http://www.imdb.com/title/tt1392190/?ref_=fn_tt_tt_1,George Miller,8.1,552503,153629485.0
Angels & Demons,2009,English,USA,146.0,PG-13,http://www.imdb.com/title/tt0808151/?ref_=fn_tt_tt_1,Ron Howard,6.7,207839,133375846.0
